Name,Date,ISO Date
วันขึ้นปีใหม่,1/1/2026,2026-01-01T00:00:00Z
วันหยุดทำการเพิ่มเป็นกรณีพิเศษ,1/2/2026,2026-01-02T00:00:00Z
วันมาฆบูชา,3/3/2026,2026-03-03T00:00:00Z
วันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช และวันที่ระลึกมหาจักรีบรมราชวงศ์,4/6/2026,2026-04-06T00:00:00Z
วันสงกรานต์,4/13/2026,2026-04-13T00:00:00Z
วันสงกรานต์,4/14/2026,2026-04-14T00:00:00Z
วันสงกรานต์,4/15/2026,2026-04-15T00:00:00Z
วันแรงงานแห่งชาติ,5/1/2026,2026-05-01T00:00:00Z
วันฉัตรมงคล,5/4/2026,2026-05-04T00:00:00Z
ชดเชยวันวิสาขบูชา (วันอาทิตย์ที่ 31 พฤษภาคม 2569),6/1/2026,2026-06-01T00:00:00Z
วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสุทิดา พัชรสุธาพิมลลักษณ พระบรมราชินี,6/3/2026,2026-06-03T00:00:00Z
วันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระเจ้าอยู่หัว,7/28/2026,2026-07-28T00:00:00Z
วันอาสาฬหบูชา,7/29/2026,2026-07-29T00:00:00Z
วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง และวันแม่แห่งชาติ,8/12/2026,2026-08-12T00:00:00Z
วันนวมินทรมหาราช,10/13/2026,2026-10-13T00:00:00Z
วันปิยมหาราช,10/23/2026,2026-10-23T00:00:00Z
ชดเชยวันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร วันชาติ และวันพ่อแห่งชาติ (วันเสาร์ที่ 5 ธันวาคม 2569),12/7/2026,2026-12-07T00:00:00Z
วันรัฐธรรมนูญ,12/10/2026,2026-12-10T00:00:00Z
วันสิ้นปี,12/31/2026,2026-12-31T00:00:00Z
